metrics,KGW,SynthID-text,VLA-Mark,Anchormark (semantic),Anchormark (gamma)
Original AUC,1.000,1.000,0.9997,1.000,1.000
Original F1,0.9985,1.000,0.9916,0.9985,0.9965
Original Acc,0.9985,1.000,0.9915,0.9985,0.9965
Original Z-Score,6.347,10.092,5.678,6.352,6.216
Original PPL,3.0796,5.0466,2.9995,3.0823,3.0736
Original BertScore,0.8405,0.8070,0.8383,0.8396,0.8409
Paraphrased AUC,0.9578,0.8822,0.9029,0.9625,0.9586
Paraphrased F1,0.8959,0.8102,0.8242,0.9103,0.8953
Paraphrased Acc,0.8984,0.7993,0.8247,0.9114,0.8944
Paraphrased Z-Score,3.360,2.030,2.739,0.3415,3.299
Paraphrased PPL,4.8936,6.7541,4.7239,4.9081,4.8801
Paraphrased BertScore,0.8048,0.7746,0.8036,0.8027,0.8052